Age,Gender,Marital status,Education,Professional,Sector,Business line,Exğerience,Income,Satisfaction,Spending,Investment
47,Male,Single,Licence,graphic artist,Private sector,Commercial sector,20,19000,4,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)","Foreign exchange, investment funds"
33,Male,Single,Licence,Engineer,Private sector,Service industry,10,12000,5,Basic Food Products,foreign currency
24,Male,Single,Associate degree,Sales consultant,Private sector,Service industry,5,12000,2,Tobacco Products,"Gold, stock market"
30,Male,Single,Licence,Software engineer,Private sector,Service industry,12,28500,7,Valid for all,"Futures deposits, gold, currency"
27,Male,Married,Associate degree,Radiology technician,Private sector,Service industry,10,15000,4,"PAYMENTS/BUILDINGS (Electricity, Water, Natural Gas, Rent, etc.)",gold
59,Male,Married,Associate degree,Map cadastral technician,Private sector,Commercial sector,20,15000,5,Basic Food Products,gold
58,Male,Married,Degree,Tourist,Private sector,Service industry,20,250000,6,Credit,real estate
49,Woman,Married,Licence,Tourist,Public sector,Service industry,10,12000,1,Loan payment,real estate
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yaş,,,,,,,Tecrübe,Gelir,Memnuniyet,,
51,,,,,,,20,17000,5,,
23,,,,,,,5,12000,5,,
52,,,,,,,20,9000,6,,
33,,,,,,,12,25000,4,,
51,,,,,,,10,16000,1,,
48,,,,,,,20,12000,2,,
49,,,,,,,20,30000,8,,
27,,,,,,,5,65000,1,,
22,,,,,,,5,4000,1,,
61,,,,,,,20,9300,1,,
33,,,,,,,10,10000,1,,
55,,,,,,,20,80000,10,,
67,,,,,,,20,12000,1,,
54,,,,,,,20,51000,1,,
45,,,,,,,20,17000,1,,
42,,,,,,,15,13000,2,,
53,,,,,,,20,8500,2,,
41,,,,,,,10,10000,5,,
53,,,,,,,20,18000,1,,
43,,,,,,,15,10500,8,,
48,,,,,,,20,15000,3,,
55,,,,,,,20,30000,7,,
61,,,,,,,20,8500,3,,
52,,,,,,,20,14000,2,,
34,,,,,,,12,12000,3,,
45,,,,,,,12,12000,6,,
21,,,,,,,5,9000,5,,
56,,,,,,,20,11000,5,,
26,,,,,,,5,31000,3,,
60,,,,,,,20,15000,3,,
24,,,,,,,5,9000,1,,
55,,,,,,,12,20000,5,,
50,,,,,,,5,12000,6,,
49,,,,,,,12,8000,1,,
44,,,,,,,20,20000,6,,
27,,,,,,,5,25000,7,,
50,,,,,,,15,16000,2,,
30,,,,,,,5,12500,5,,
37,,,,,,,12,16000,4,,
23,,,,,,,5,10000,1,,
50,,,,,,,20,10000,1,,
33,,,,,,,12,11000,3,,
28,,,,,,,10,11000,5,,
65,,,,,,,20,13000,3,,
47,,,,,,,20,19000,4,,
33,,,,,,,10,12000,5,,
24,,,,,,,5,12000,2,,
30,,,,,,,12,28500,7,,
27,,,,,,,10,15000,4,,
59,,,,,,,20,15000,5,,
58,,,,,,,20,250000,6,,
49,,,,,,,10,12000,1,,
21,,,,,,,5,3000,5,,
